1 160.08139353 22.2429228228
2 164.430913091 39.6725239229
3 167.376406015 54.4682190322
4 170.212010847 69.3647358603
5 173.186768624 83.5302433044
6 176.533836422 99.315185425
7 179.283232599 113.234929463
8 182.390349333 129.089182652
9 185.044484866 142.79465718
10 188.206633842 158.598458767
11 191.086259531 172.549636571
12 194.173338129 188.271494217
13 196.922925353 202.191150443
14 200.74910133 220.704441064
15 204.038139757 237.749529134
16 193.240462744 247.051781245
17 179.310175129 259.22791668
18 165.964280846 270.717164227
19 127.228151762 283.325176153
20 104.499954081 251.379733335
21 85.5448895855 269.221912051
22 70.6769941195 283.465426608
23 52.6497519647 288.087076543
24 49.7328094874 265.269760107
25 50.0371532224 242.212476752
26 59.0197213424 203.349681724
27 92.043769286 202.166674424
28 109.340884099 201.382947282
29 131.231943428 201.966106725
30 139.864443891 212.148217805
31 131.618185878 225.445444567
32 117.73379193 238.333841895
33 166.768154132 25.0085449282
34 174.184831072 31.3281655674
35 170.097803157 85.4588692566
36 158.53541629 83.9982662063
37 201.030000917 240.207456985
38 189.677317908 208.083892156
39 157.16743332 287.385669471
40 146.126472242 297.967272271
41 134.735606077 308.719090892
42 123.330185665 319.786015754
43 43.5759598351 310.74232623
44 57.7330818613 210.111405166
45 120.46065379 189.673267386
46 159.391834131 18.9535880075
47 208.634277248 206.682741182
48 205.72881686 192.151866345
49 207.298757632 199.158931493
50 209.050357833 207.356951026
51 184.099917411 81.9662171338
52 75.3379430386 131.661103087
53 92.80227981 159.083045109
54 108.908748738 177.191484234
55 54.8572862853 172.775229507
56 63.3430097435 147.492241899
57 42.4697969742 194.246355871
58 47.3385887348 195.361020709
59 157.971289807 210.923431647
60 151.168028569 203.286874726
61 128.991509083 187.277583755
62 95.5837635194 193.337764602
63 83.7663232149 207.045189805
64 44.6743814751 211.984851951
65 42.2519223084 259.763351412
66 42.1587012589 268.598085998
67 42.4389975384 276.18506156
68 42.785468212 284.616425397
69 42.9524939279 293.514123154
